Warning: Gym version v0.24.0 has a number of critical issues with `gym.make` such that the `reset` and `step` functions are called before returning the environment. It is recommend to downgrading to v0.23.1 or upgrading to v0.25.1
2024-02-13 11:44:03.474303: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-02-13 11:44:08.675258: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30977 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:18:00.0, compute capability: 7.0
2024-02-13 11:44:17.836456: I tensorflow/stream_executor/cuda/cuda_dnn.cc:368] Loaded cuDNN version 8200
==== Experiment:  DRQN_PSO_F19
==== Args used:
Namespace(network_type='DRQN', algorithm='PSO', func_num=19, num_episodes=10, num_swarm_obs_intervals=10, swarm_obs_interval_length=60, train=True, steps=20000)
==== Remaining (Unknown) Args:
[]
>> Training mode. Number of Steps to Train: 20000
>> Evaluation Interval: 500
>> Logging Interval: 200
>> Number of Episodes per Iteration: 10
=== Function Evaluation Budget: 30 dimensions x 10 000/dim = 300000 Function Evaluations
=== Observations Per Episode: 10 Number of Swarm Observation Intervals per Episode x 60 Number of Observations in each Interval  = 600  Observations per Episode
=== Function Evaluation Allocation: 50 Swarm Size (# Particles) x 10 Episodes x 600 Observations per Episode  = 300000 Function Evaluations

num_actions: 5
Action #1 Description: Do nothing
Action #2 Description: Reset slower half
Action #3 Description: Encourage social learning
Action #4 Description: Discourage social learning
Action #5 Description: Reset all particles
Episode#1 Reward:-3.8245816230773926
Episode#2 Reward:-3.0908293798565865
Episode#3 Reward:-4.5622981786727905
Episode#4 Reward:-4.836940297856927
Episode#5 Reward:-3.7203483879566193
Episode#6 Reward:-3.158499214798212
Episode#7 Reward:-5.804101467132568
Episode#8 Reward:-4.175132676959038
Episode#9 Reward:-2.977938175201416
Episode#10 Reward:-3.321502208709717
Episode#11 Reward:-4.812480449676514
Episode#12 Reward:-4.722795605659485
Episode#13 Reward:-4.079598903656006
Episode#14 Reward:-3.8698318004608154
Episode#15 Reward:-2.2473271898925304
Episode#16 Reward:-5.116292778402567
Episode#17 Reward:-4.4390009343624115
Episode#18 Reward:-5.310689579695463
Episode#19 Reward:-2.570183128118515
Episode#20 Reward:-2.699636399745941
Episode#21 Reward:-3.8108974397182465
Episode#22 Reward:-2.7016720231622458
Episode#23 Reward:-2.0088283777586184
Episode#24 Reward:-4.02052390947938
Episode#25 Reward:-4.0371981635689735
Episode#26 Reward:-3.961007595062256
Episode#27 Reward:-4.145850118249655
Episode#28 Reward:-5.721148610115051
Episode#29 Reward:-3.7973088026046753
Episode#30 Reward:-2.3901343047618866
Episode#31 Reward:-3.8919432424008846
Episode#32 Reward:-2.210508999414742
Episode#33 Reward:-2.2429602979682386
Episode#34 Reward:-2.5021306183189154
Episode#35 Reward:-4.542505264282227
Episode#36 Reward:-4.188597708940506
Episode#37 Reward:-4.538561606779695
Episode#38 Reward:-2.170231284806505
Episode#39 Reward:-5.492521643638611
Episode#40 Reward:-3.1594203114509583
Episode#41 Reward:-3.930469512939453
Episode#42 Reward:-3.7853282392024994
Episode#43 Reward:-3.5209677293896675
Episode#44 Reward:-4.056907966732979
Episode#45 Reward:-3.2803101241588593
Episode#46 Reward:-2.5242751950136153
Episode#47 Reward:-3.3007694614934735
Episode#48 Reward:-2.800589442253113
Episode#49 Reward:-3.655162513256073
Episode#50 Reward:-2.069009780883789
Episode#51 Reward:-3.7509322016267106
Episode#52 Reward:-2.6105603128671646
Episode#53 Reward:-2.722595782019198
Episode#54 Reward:-4.955417111515999
Episode#55 Reward:-2.860577993094921
Episode#56 Reward:-2.721319794654846
Episode#57 Reward:-4.12122443318367
Episode#58 Reward:-1.8865782297216356
Episode#59 Reward:-3.2018482089042664
Episode#60 Reward:-3.826670229434967
Episode#61 Reward:-3.1719277314841747
Episode#62 Reward:-1.9199318438768387
Episode#63 Reward:-2.1042134314775467
Episode#64 Reward:-2.875980050834187
Episode#65 Reward:-1.9491542503237724
Episode#66 Reward:-2.7910421332344413
Episode#67 Reward:-4.384631551802158
Episode#68 Reward:-2.1167811453342438
Episode#69 Reward:-2.6092064497061074
Episode#70 Reward:-3.247249639185611
Episode#71 Reward:-4.31072211265564
Episode#72 Reward:-3.960841029882431
Episode#73 Reward:-4.456417243927717
Episode#74 Reward:-3.4602516162349275
Episode#75 Reward:-3.8572547551175376
Episode#76 Reward:-5.9581618309021
Episode#77 Reward:-8.177887693047523
Episode#78 Reward:-3.144662380218506
