Warning: Gym version v0.24.0 has a number of critical issues with `gym.make` such that the `reset` and `step` functions are called before returning the environment. It is recommend to downgrading to v0.23.1 or upgrading to v0.25.1
2024-01-24 08:03:45.463650: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-01-24 08:03:50.907342: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30977 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:af:00.0, compute capability: 7.0
2024-01-24 08:03:55.868415: I tensorflow/stream_executor/cuda/cuda_dnn.cc:368] Loaded cuDNN version 8200
==== Experiment:  DRQN_PSO_6
==== Args used:
Namespace(network_type='DRQN', algorithm='PSO', func_num=6, train=True, steps=20000)
>> Training mode. Number of Steps to Train: 20000
num_actions: 5
Episode#1 Reward:-17.430980020618335
Episode#2 Reward:-16.25814026594162
Episode#3 Reward:-26.407423912144623
Episode#4 Reward:-17.628309581428766
Episode#5 Reward:-14.258182272315025
Episode#6 Reward:-16.38702167570591
Episode#7 Reward:-81.79715887829661
Episode#8 Reward:-15.693977326154709
Episode#9 Reward:-17.767921440303326
Episode#10 Reward:-14.839126363396645
Episode#11 Reward:-15.697224851697683
Episode#12 Reward:-15.97925988391853
Episode#13 Reward:-78.13058196473867
Episode#14 Reward:-17.627716201323892
Episode#15 Reward:-26.40838105594969
Episode#16 Reward:-16.378185510635376
Episode#17 Reward:-14.804338864982128
Episode#18 Reward:-18.12949228286743
Episode#19 Reward:-27.82884291128721
step = 20: loss = [0.011624204, 0.0062993392, 0.008671746, 0.015025506, 0.010470761, 0.008007217, 0.009291975, 0.012163572, 0.013857517, 0.015803467]
Episode#20 Reward:-26.407761570066214
Episode#21 Reward:-17.627752273983788
Episode#22 Reward:-17.72153902053833
Episode#23 Reward:-16.368860941640833
Episode#24 Reward:-13.966291785240173
Episode#25 Reward:-13.78832022473216
Episode#26 Reward:-16.368603915561835
Episode#27 Reward:-17.627924623549916
Episode#28 Reward:-17.559624016284943
Episode#29 Reward:-17.92406326532364
Episode#30 Reward:-16.055137872695923
Episode#31 Reward:-16.368551693856716
Episode#32 Reward:-26.431478321552277
Episode#33 Reward:-20.508867263793945
Episode#34 Reward:-14.575252294540405
Episode#35 Reward:-12.96438379585743
Episode#36 Reward:-13.304295867681503
Episode#37 Reward:-24.01314926147461
Episode#38 Reward:-17.734645023941994
Episode#39 Reward:-15.466894637793303
step = 40: loss = [0.0051085893, 0.007397774, 0.0036804827, 0.0043003443, 0.0072678667, 0.0056498316, 0.005702029, 0.0060292426, 0.0036089113, 0.011609085]
Episode#40 Reward:-16.427984945476055
Episode#41 Reward:-14.383050203323364
Episode#42 Reward:-17.85141658782959
Episode#43 Reward:-17.479544549249226
Episode#44 Reward:-16.368508891297097
Episode#45 Reward:-17.851948430528864
Episode#46 Reward:-20.487207412719727
Episode#47 Reward:-73.98088374733925
Episode#48 Reward:-16.372516509203706
Episode#49 Reward:-15.472223937511444
step = 50: Average Return = -15.962396232069779
Episode#50 Reward:-13.767028026282787
Episode#51 Reward:-17.901111040038813
Episode#52 Reward:-16.389568775892258
Episode#53 Reward:-16.369821280241013
Episode#54 Reward:-19.175387859344482
Episode#55 Reward:-17.62771755788799
Episode#56 Reward:-14.69778573513031
Episode#57 Reward:-13.776237538084388
Episode#58 Reward:-15.964844584465027
Episode#59 Reward:-15.546482041478157
step = 60: loss = [0.004294952, 0.0055623613, 0.0032740035, 0.0053365505, 0.005383584, 0.0069228946, 0.0051086554, 0.005185999, 0.0050327275, 0.005141656]
Episode#60 Reward:-15.689088225364685
Episode#61 Reward:-26.408461797516793
Episode#62 Reward:-44.65018556136488
Episode#63 Reward:-16.0115884616971
Episode#64 Reward:-26.56842983624665
Episode#65 Reward:-17.628049664199352
Episode#66 Reward:-11.760865211486816
Episode#67 Reward:-13.756555006606504
Episode#68 Reward:-6.753952920436859
Episode#69 Reward:-17.871766328811646
Episode#70 Reward:-14.984358012676239
Episode#71 Reward:-24.14393424987793
Episode#72 Reward:-16.35949045419693
Episode#73 Reward:-14.310643653398074
Episode#74 Reward:-77.43413770198822
Episode#75 Reward:-17.670238494873047
Episode#76 Reward:-22.46476173400879
Episode#77 Reward:-26.746551908552647
Episode#78 Reward:-9.689549952745438
Episode#79 Reward:-14.909542083740234
