Warning: Gym version v0.24.0 has a number of critical issues with `gym.make` such that the `reset` and `step` functions are called before returning the environment. It is recommend to downgrading to v0.23.1 or upgrading to v0.25.1
2024-03-18 05:31:52.362440: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-03-18 05:31:55.375589: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30989 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:3b:00.0, compute capability: 7.0
2024-03-18 05:31:59.874948: I tensorflow/stream_executor/cuda/cuda_dnn.cc:368] Loaded cuDNN version 8200
==== Experiment:  DRQN_PSO_F6
==== Args used:
Namespace(network_type='DRQN', algorithm='PSO', func_num=6, num_actions=3, num_episodes=20, num_swarm_obs_intervals=10, swarm_obs_interval_length=30, policy='ExponentialDecayGreedyEpsilon', train=True, steps=20000)
==== Remaining (Unknown) Args:
[]
>> Training mode. Number of Steps to Train: 20000
>> Evaluation Interval: 500
>> Logging Interval: 200
>> Number of Episodes per Iteration: 20
=== Function Evaluation Budget: 30 dimensions x 10 000/dim = 300000 Function Evaluations
=== Observations Per Episode: 10 Number of Swarm Observation Intervals per Episode x 30 Number of Observations in each Interval  = 300  Observations per Episode
=== Function Evaluation Allocation: 50 Swarm Size (# Particles) x 20 Episodes x 300 Observations per Episode  = 300000 Function Evaluations

num_actions: 3
Action #1 Description: Do nothing
Action #2 Description: Decrease Threshold for Replacement
Action #3 Description: Increase Threshold for Replacement
Step #1 Reward:-16.507598876953125 Current Epsilon: 0.9962826167820654
Step #2 Reward:-26.408284353557974 Current Epsilon: 0.9923846606665648
Step #3 Reward:-14.802633255720139 Current Epsilon: 0.9885021099344907
Step #4 Reward:-13.950424015522003 Current Epsilon: 0.9846349037011559
Step #5 Reward:-73.6763568520546 Current Epsilon: 0.9807829813225
Step #6 Reward:-17.632269144058228 Current Epsilon: 0.9769462823941378
Step #7 Reward:-14.100057914853096 Current Epsilon: 0.9731247467504132
Step #8 Reward:-80.55696821212769 Current Epsilon: 0.9693183144634541
Step #9 Reward:-16.182872583245626 Current Epsilon: 0.9655269258422341
Step #10 Reward:-17.466221552342176 Current Epsilon: 0.9617505214316359
Step #11 Reward:-14.512943997979164 Current Epsilon: 0.9579890420115184
Step #12 Reward:-81.391685962677 Current Epsilon: 0.954242428595789
Step #13 Reward:-12.749531783163548 Current Epsilon: 0.9505106224314781
Step #14 Reward:-17.479666208440904 Current Epsilon: 0.9467935649978174
Step #15 Reward:-103.33242797851562 Current Epsilon: 0.9430911980053232
Step #16 Reward:-32.56981682777405 Current Epsilon: 0.9394034633948811
Step #17 Reward:-15.839310973882675 Current Epsilon: 0.9357303033368366
Step #18 Reward:-13.907025620341301 Current Epsilon: 0.9320716602300876
Step #19 Reward:-181.28623056411743 Current Epsilon: 0.9284274767011814
Step #20 Reward:-26.408778430894017 Current Epsilon: 0.9247976956034152
Step #21 Reward:-13.9668505564332 Current Epsilon: 0.9211822600159388
Step #22 Reward:-14.060532078146935 Current Epsilon: 0.9175811132428637
Step #23 Reward:-71.20044443011284 Current Epsilon: 0.913994198812373
Step #24 Reward:-15.534344838047218 Current Epsilon: 0.9104214604758355
Step #25 Reward:-13.803247252712026 Current Epsilon: 0.9068628422069248
Step #26 Reward:-68.72618556022644 Current Epsilon: 0.9033182882007396
Step #27 Reward:-75.79471743106842 Current Epsilon: 0.8997877428729292
Step #28 Reward:-16.36788041330874 Current Epsilon: 0.8962711508588216
Step #29 Reward:-75.73031571507454 Current Epsilon: 0.8927684570125554
Step #30 Reward:-26.407420575579522 Current Epsilon: 0.889279606406215
Step #31 Reward:-13.861282721161842 Current Epsilon: 0.8858045443289692
Step #32 Reward:-83.26503944396973 Current Epsilon: 0.8823432162862134
Step #33 Reward:-59.821900367736816 Current Epsilon: 0.8788955679987149
Step #34 Reward:-17.653597712516785 Current Epsilon: 0.8754615454017615
Step #35 Reward:-26.40794728184119 Current Epsilon: 0.8720410946443141
Step #36 Reward:-220.8166383355856 Current Epsilon: 0.8686341620881621
Step #37 Reward:-93.76063473971897 Current Epsilon: 0.8652406943070822
Step #38 Reward:-26.40741842645832 Current Epsilon: 0.8618606380860001
Step #39 Reward:-75.64079210162163 Current Epsilon: 0.8584939404201573
Step #40 Reward:-16.369444822892547 Current Epsilon: 0.8551405485142785
Step #41 Reward:-27.89536762237549 Current Epsilon: 0.8518004097817444
Step #42 Reward:-15.906715542078018 Current Epsilon: 0.8484734718437674
Step #43 Reward:-0.0007011368870735168 Current Epsilon: 0.8451596825285689
Step #44 Reward:-13.842633556574583 Current Epsilon: 0.8418589898705627
Step #45 Reward:-14.07862800359726 Current Epsilon: 0.838571342109539
Step #46 Reward:-26.40741717445087 Current Epsilon: 0.8352966876898535
Step #47 Reward:-13.93889033794403 Current Epsilon: 0.8320349752596182
Step #48 Reward:-14.854951560497284 Current Epsilon: 0.8287861536698967
Step #49 Reward:-19.456122279167175 Current Epsilon: 0.8255501719739019
Step #50 Reward:-120.26132583618164 Current Epsilon: 0.8223269794261966
Step #51 Reward:-234.64819431304932 Current Epsilon: 0.8191165254818986
Step #52 Reward:-176.25690841674805 Current Epsilon: 0.8159187597958877
Step #53 Reward:-44.650190501090606 Current Epsilon: 0.8127336322220159
Step #54 Reward:-85.06584763526917 Current Epsilon: 0.8095610928123212
Step #55 Reward:-93.7606361170375 Current Epsilon: 0.806401091816245
Step #56 Reward:-16.36851094920496 Current Epsilon: 0.8032535796798504
Step #57 Reward:-70.89009857177734 Current Epsilon: 0.800118507045047
Step #58 Reward:-74.15715086460114 Current Epsilon: 0.7969958247488153
Step #59 Reward:-14.77920063585043 Current Epsilon: 0.7938854838224366
Step #60 Reward:-14.284178242087364 Current Epsilon: 0.7907874354907252
Step #61 Reward:-81.20356703270227 Current Epsilon: 0.7877016311712625
Step #62 Reward:-26.407418959952338 Current Epsilon: 0.7846280224736363
Step #63 Reward:-19.8219082733267 Current Epsilon: 0.7815665611986817
Step #64 Reward:-75.05403292179108 Current Epsilon: 0.7785171993377247
Step #65 Reward:-26.407418517217934 Current Epsilon: 0.7754798890718299
Step #66 Reward:-187.54837346076965 Current Epsilon: 0.7724545827710502
Step #67 Reward:-27.17948055267334 Current Epsilon: 0.7694412329936805
Step #68 Reward:-188.89493608474731 Current Epsilon: 0.7664397924855131
