Function Number,Run Number,Error,Time
1,1,2.2737367544323206e-13,27.654608964920044
1,2,2.2737367544323206e-13,25.620846271514893
1,3,0.0,27.104705810546875
1,4,2.2737367544323206e-13,26.274049282073975
1,5,2.2737367544323206e-13,25.99060583114624
1,6,2.2737367544323206e-13,25.991077184677124
1,7,2.2737367544323206e-13,28.500309944152832
1,8,2.2737367544323206e-13,27.17510724067688
1,9,2.2737367544323206e-13,26.729743719100952
1,10,2.2737367544323206e-13,29.434413194656372
1,11,2.2737367544323206e-13,26.156810998916626
1,12,2.2737367544323206e-13,38.81710624694824
1,13,0.0,26.373512744903564
1,14,2.2737367544323206e-13,27.74370050430298
1,15,2.2737367544323206e-13,26.666998386383057
1,16,2.2737367544323206e-13,29.626610040664673
1,17,2.2737367544323206e-13,26.40468454360962
1,18,2.2737367544323206e-13,25.781142950057983
1,19,2.2737367544323206e-13,26.00665545463562
1,20,2.2737367544323206e-13,25.668959617614746
1,21,0.0,25.82426929473877
1,22,2.2737367544323206e-13,25.800450801849365
1,23,2.2737367544323206e-13,28.461907625198364
1,24,2.2737367544323206e-13,29.27749729156494
1,25,2.2737367544323206e-13,26.216395139694214
1,26,2.2737367544323206e-13,26.71804118156433
1,27,2.2737367544323206e-13,26.05490732192993
1,28,2.2737367544323206e-13,25.86648654937744
1,29,2.2737367544323206e-13,30.01695466041565
1,30,2.2737367544323206e-13,27.516391038894653
2,1,1148570.2088970647,62.118706941604614
2,2,3392370.0959177786,59.30498647689819
2,3,1639519.9285121916,56.73022794723511
2,4,2133294.1312809093,61.09582591056824
2,5,3249473.026735415,53.77086281776428
2,6,1622234.878470938,53.003504037857056
2,7,1089752.8025555895,51.069650173187256
2,8,2400458.8939012825,52.54597616195679
2,9,2249462.8859573365,62.45020508766174
2,10,2735908.706476679,66.06131482124329
2,11,4760501.205538834,55.241955518722534
2,12,2677445.733086354,59.77220129966736
2,13,831116.1772563445,53.73895001411438
2,14,983176.9681809896,51.62051200866699
2,15,2691871.7909795344,53.1310977935791
2,16,2645628.1795371086,52.97903060913086
2,17,1669904.5003854905,53.303924322128296
2,18,816133.3029782203,60.68686294555664
2,19,3095140.9836665317,52.09077048301697
2,20,1446644.8340847166,74.05609583854675
2,21,1175130.0707000436,55.86686372756958
2,22,1946962.3637584476,53.1540584564209
2,23,2613580.374052891,54.1784873008728
2,24,1400464.592132903,58.36416959762573
2,25,2355773.410243787,64.78220629692078
2,26,1582875.5907719266,63.802035331726074
2,27,1708132.0751461908,64.11386322975159
2,28,1980767.508898557,52.5100519657135
2,29,1826727.3352446863,91.16813230514526
2,30,1765797.3952639105,59.047375202178955
3,1,248344592.86612755,53.811243295669556
3,2,58205726.34907069,54.60210561752319
3,3,7459973.907798505,52.696860790252686
3,4,27102295.870337464,54.180603981018066
3,5,25362457.467409786,50.335445165634155
3,6,34158845.40941414,49.52613139152527
3,7,14103875.987322018,52.719178199768066
3,8,110898220.85372826,51.49066352844238
3,9,213352943.04313648,53.09591770172119
3,10,15526257.68014542,53.60524320602417
3,11,34942182.30299009,61.691219329833984
3,12,8346300.777605537,54.91580820083618
3,13,45585650.621554434,58.70742583274841
3,14,140025090.63727888,54.40633416175842
3,15,49938250.25457417,55.10726451873779
3,16,16230476.125036726,53.97491455078125
3,17,49976130.998900674,50.32543063163757
3,18,32966091.6560064,52.32024812698364
3,19,132226230.62678546,53.15727925300598
3,20,110731762.95746486,56.61786341667175
3,21,81111214.36294746,60.374966859817505
3,22,176185064.5936708,51.17891001701355
3,23,42342909.47246095,53.948893547058105
3,24,56414532.46457755,53.82761359214783
3,25,76928996.99133779,50.967851638793945
3,26,342798587.8190012,50.56052303314209
3,27,50298307.40040379,56.92895150184631
3,28,54315085.45800895,50.21080160140991
3,29,4666331.004113149,61.10927486419678
3,30,80931782.53883217,59.787577629089355
4,1,19825.25989107467,41.95072269439697
4,2,14955.592542020093,46.84061145782471
4,3,18851.46916091727,42.6077516078949
4,4,14888.029355819684,41.35999917984009
4,5,22422.636979243547,42.68302321434021
4,6,18601.77892908044,43.54017424583435
4,7,21782.412959403155,43.05772161483765
4,8,13377.65126092382,41.35194420814514
4,9,14506.160190556047,42.91394233703613
4,10,15796.456426218341,52.03452277183533
4,11,18329.498307765367,50.253711462020874
4,12,12383.089927157416,50.14524221420288
4,13,14983.688195369476,48.75794315338135
4,14,21602.815878010726,47.42877793312073
4,15,19845.28346997711,48.81588053703308
4,16,19440.555293791753,44.808627128601074
4,17,9793.900856546905,43.43386745452881
4,18,18242.15432774339,48.51139569282532
4,19,15571.31522179993,43.08385443687439
4,20,22009.21224372064,41.06895303726196
4,21,23910.754841684397,55.54042935371399
4,22,14385.723407234906,51.908509731292725
4,23,15002.920416520943,41.10260033607483
4,24,17884.174850078372,45.356210470199585
4,25,13992.01756989008,43.167985677719116
4,26,13078.046768313132,45.73051309585571
4,27,17833.013734648393,41.89772844314575
4,28,12009.985515507748,51.760783433914185
4,29,15200.452481688599,42.181520223617554
4,30,20093.560507444596,41.468348264694214
5,1,1.1368683772161603e-13,36.48620820045471
5,2,1.1368683772161603e-13,41.99182724952698
5,3,1.1368683772161603e-13,38.85267210006714
5,4,1.1368683772161603e-13,36.46938920021057
5,5,1.1368683772161603e-13,42.82940888404846
5,6,1.1368683772161603e-13,41.61189889907837
5,7,1.1368683772161603e-13,40.021833658218384
5,8,1.1368683772161603e-13,43.8644700050354
5,9,1.1368683772161603e-13,39.13698363304138
5,10,1.1368683772161603e-13,35.67429709434509
5,11,1.1368683772161603e-13,35.70668840408325
5,12,1.1368683772161603e-13,44.16034460067749
5,13,1.1368683772161603e-13,36.89245080947876
5,14,2.2737367544323206e-13,37.886253356933594
5,15,1.1368683772161603e-13,39.31991147994995
5,16,1.1368683772161603e-13,35.85729455947876
5,17,1.1368683772161603e-13,38.548022747039795
5,18,1.1368683772161603e-13,35.297513008117676
5,19,1.1368683772161603e-13,36.02784585952759
5,20,1.1368683772161603e-13,36.35747671127319
5,21,1.1368683772161603e-13,37.83943581581116
5,22,1.1368683772161603e-13,36.56615161895752
5,23,1.1368683772161603e-13,36.56981182098389
5,24,1.1368683772161603e-13,40.8069212436676
5,25,1.1368683772161603e-13,35.93151497840881
5,26,1.1368683772161603e-13,38.09655976295471
