Function Number,Run Number,Error,Time
1,1,2.2737367544323206e-13,6.583684682846069
1,2,0.0,4.737500905990601
1,3,2.2737367544323206e-13,4.612860441207886
1,4,2.2737367544323206e-13,4.597376823425293
1,5,2.2737367544323206e-13,4.603660821914673
1,6,0.0,4.590777635574341
1,7,2.2737367544323206e-13,4.611908674240112
1,8,0.0,6.586566209793091
1,9,0.0,4.582018613815308
1,10,0.0,4.558201789855957
1,11,2.2737367544323206e-13,4.58561372756958
1,12,2.2737367544323206e-13,4.568583726882935
1,13,0.0,4.552659749984741
1,14,2.2737367544323206e-13,4.546786069869995
1,15,2.2737367544323206e-13,6.269934415817261
1,16,2.2737367544323206e-13,4.551098108291626
1,17,0.0,4.580644130706787
1,18,2.2737367544323206e-13,4.543687582015991
1,19,2.2737367544323206e-13,4.5418596267700195
1,20,0.0,4.689099550247192
1,21,0.0,5.899926662445068
1,22,2.2737367544323206e-13,4.573646545410156
1,23,2.2737367544323206e-13,4.637453556060791
1,24,2.2737367544323206e-13,4.564873695373535
1,25,2.2737367544323206e-13,4.557736158370972
1,26,2.2737367544323206e-13,4.574923276901245
1,27,2.2737367544323206e-13,4.577636480331421
1,28,2.2737367544323206e-13,7.044556140899658
1,29,2.2737367544323206e-13,4.596873760223389
1,30,2.2737367544323206e-13,4.860761642456055
2,1,1862413.8794513238,13.996078968048096
2,2,1327747.2724342204,14.848016738891602
2,3,2543632.636032704,14.446958541870117
2,4,2138976.072443815,14.471874237060547
2,5,1254526.1756163186,15.00749135017395
2,6,2229799.338058553,15.023431539535522
2,7,1202261.2874517448,14.389214277267456
2,8,4057038.1257083523,15.65696406364441
2,9,1615011.3016577673,14.552490949630737
2,10,3624656.5258572516,13.904644966125488
2,11,2589500.0658108746,16.031116485595703
2,12,2743285.043413165,16.61209988594055
2,13,2774860.460027978,15.609748363494873
2,14,1622942.9824397722,14.522125005722046
2,15,1964944.5333668767,14.036149263381958
2,16,1985066.0765719165,15.980332374572754
2,17,1442388.5133128432,15.5624361038208
2,18,1419049.1971807657,16.306535720825195
2,19,2042483.3641411664,14.213625431060791
2,20,1668649.0828517212,14.097501516342163
2,21,1724032.9114666632,15.204681158065796
2,22,1149973.9410660898,17.330869913101196
2,23,1959076.3442232492,15.14835786819458
2,24,3101585.5641723075,14.329907655715942
2,25,1091492.9714100917,13.968997955322266
2,26,2190602.292428425,14.217081308364868
2,27,1195604.6804649588,14.186370134353638
2,28,2343802.3380496316,14.091856956481934
2,29,2017166.1207515385,16.124313831329346
2,30,1232035.2864655727,14.002008438110352
3,1,37607508.570411906,16.54072880744934
3,2,3720315.2335743345,13.404203414916992
3,3,30240056.57060005,15.595237255096436
3,4,147148575.47118434,17.631368398666382
3,5,9792941.730332674,17.972999334335327
3,6,77031021.19616055,14.113924503326416
3,7,11203816.929443657,19.481550455093384
3,8,69817126.92563286,14.027533531188965
3,9,60567612.3602543,19.246663093566895
3,10,85815700.93282166,13.952773094177246
3,11,60764243.12356347,14.542622327804565
3,12,178898866.15578032,15.168426752090454
3,13,70064251.83598995,14.516854524612427
3,14,17286517.466596622,15.08265471458435
3,15,18141249.01738707,16.972086191177368
3,16,38724822.87248522,15.38755488395691
3,17,25860695.782423794,18.956209182739258
3,18,25513938.724731848,13.833587646484375
3,19,83376822.90277587,15.601418018341064
3,20,103867934.01391041,17.52518081665039
3,21,15840583.788734384,19.245357275009155
3,22,238466944.3297109,15.340392351150513
3,23,218222926.74356404,13.966258525848389
3,24,76021524.2524103,13.830609798431396
3,25,182683110.37427202,17.216946601867676
3,26,14731331.802225044,15.147465467453003
3,27,23161048.315693926,15.233667373657227
3,28,49914448.765146635,14.605890035629272
3,29,1876383.1757040862,14.788157224655151
3,30,4161006.319873345,17.514203786849976
4,1,19858.364818535294,10.757467031478882
4,2,14445.986993226901,11.817568063735962
4,3,11748.263768905874,13.120581865310669
4,4,24299.548907682005,11.261039972305298
4,5,12209.846904551801,10.727296590805054
4,6,15417.945074641239,10.665351867675781
4,7,13066.067523326908,13.509376764297485
4,8,27084.034724198853,12.410161018371582
4,9,16798.336468443078,10.742165088653564
4,10,13117.971613229513,13.612870693206787
4,11,21012.625401457455,10.7326819896698
4,12,16147.525783843168,11.532111644744873
4,13,13570.430893165589,10.717928886413574
4,14,18707.162585124635,12.841468811035156
4,15,13645.302218872555,12.462483167648315
4,16,25095.930388627305,10.726383447647095
4,17,19140.186420009075,10.799670934677124
4,18,9326.088111678517,10.733050346374512
4,19,23162.489882474456,10.723820924758911
4,20,24080.6120829029,11.80167293548584
4,21,15986.125376716076,13.083834886550903
4,22,15217.567508383849,10.778168201446533
4,23,20546.063804087797,10.762951850891113
4,24,16378.347586132983,10.826038122177124
4,25,20594.171446731623,11.433560371398926
4,26,15051.852429986078,10.971155643463135
4,27,19649.22167224687,10.794496297836304
4,28,9064.195277608324,13.048015594482422
4,29,17675.01055015992,11.235053062438965
4,30,11855.239743935841,10.760618686676025
5,1,1.1368683772161603e-13,8.686042308807373
5,2,1.1368683772161603e-13,8.711043357849121
5,3,1.1368683772161603e-13,10.471572160720825
5,4,1.1368683772161603e-13,8.825947999954224
5,5,1.1368683772161603e-13,9.350743532180786
5,6,1.1368683772161603e-13,8.89626693725586
5,7,1.1368683772161603e-13,8.813568115234375
5,8,1.1368683772161603e-13,8.72651982307434
5,9,1.1368683772161603e-13,8.739962577819824
5,10,1.1368683772161603e-13,8.695192575454712
5,11,1.1368683772161603e-13,11.51788330078125
5,12,1.1368683772161603e-13,8.698433876037598
5,13,1.1368683772161603e-13,9.88564395904541
5,14,1.1368683772161603e-13,9.19091010093689
5,15,1.1368683772161603e-13,8.703185558319092
5,16,1.1368683772161603e-13,8.687883615493774
5,17,1.1368683772161603e-13,11.931680917739868
5,18,1.1368683772161603e-13,8.68962025642395
5,19,1.1368683772161603e-13,8.682307004928589
5,20,1.1368683772161603e-13,8.878903865814209
5,21,1.1368683772161603e-13,8.779765129089355
5,22,1.1368683772161603e-13,13.042672157287598
5,23,1.1368683772161603e-13,8.864022254943848
5,24,1.1368683772161603e-13,8.790126085281372
5,25,1.1368683772161603e-13,8.741137027740479
5,26,1.1368683772161603e-13,12.380616426467896
5,27,1.1368683772161603e-13,8.746766090393066
5,28,1.1368683772161603e-13,8.840639352798462
5,29,1.1368683772161603e-13,8.80614972114563
5,30,1.1368683772161603e-13,10.13943338394165
6,1,9.834590581508905,10.53589391708374
6,2,4.516106436133555,10.488230228424072
6,3,15.442355171048234,10.501546144485474
6,4,15.947473926716157,12.943153142929077
6,5,15.46777668089726,11.794657945632935
6,6,16.008790936472337,10.421719551086426
6,7,16.368525876227977,10.435568809509277
6,8,15.108284329367734,11.598215579986572
6,9,16.141067037783614,10.52748966217041
6,10,16.112144943341036,17.491719484329224
6,11,16.368535351860714,10.450974941253662
6,12,14.298282725475019,14.926356077194214
6,13,14.885820257759292,10.743759393692017
6,14,17.628105368875936,11.572669267654419
6,15,16.368815567688216,10.500211238861084
6,16,18.71846932737867,14.489041566848755
6,17,14.681550809101282,10.542791604995728
