[ 0.02623958 -0.02086762  0.04271628],[-0.04014273  0.02021224  0.06794235],[0.00176047 0.01179584 0.04375072],[0.05110623 0.04142287 0.11102815],[ 0.07972655 -0.04683827  0.08576709],[-0.03076036 -0.00702748  0.10151656],[-0.04813376  0.05226838  0.09626085],[0.03756197 0.09137468 0.16578858],[-0.04581325  0.15870329  0.21504615],[-0.01472063  0.17301178  0.28279353],[0.04450787 0.18755524 0.33351744],[0.11778465 0.15985209 0.32751812],[0.07094043 0.09519717 0.24030301],[6.0829689e-13 8.4785044e-13 5.6688400e-13],[0.01842759 0.06456579 0.2202866 ],[-0.06759688  0.08744149  0.17428245],[-0.06242149  0.02653754  0.21047207],[-0.04245138  0.02838409  0.30754959],[-0.12891207  0.09168687  0.30015847],[-0.16965205  0.12163062  0.21701931]
[-0.15284621  0.1614966   0.18393545],[-0.12433496  0.11231596  0.25121602],[-0.07805977  0.1360729   0.25155748],[-0.11534071  0.10820466  0.26108921],[-0.07947391  0.02517042  0.31787103],[-0.08954534 -0.04355991  0.30384691],[-0.19504419  0.00401959  0.25492722],[-0.24444929  0.02935535  0.2620463 ],[-0.19510467  0.0574827   0.17223155],[1.3084972e-14 3.7192000e-14 2.6966708e-14],[-0.26014658  0.09109273  0.15453829],[-0.25492452  0.06449814  0.14710946],[-0.28233711  0.18580992  0.09653134],[-0.28988188  0.22912566  0.09088641],[-1.1838185e-14  5.3190996e-14  4.7933256e-15],[-0.31434192  0.25792629  0.0748831 ],[-0.32237727  0.21771477  0.00525767],[-0.30529799  0.23468525 -0.06085495],[-0.25055484  0.26836818 -0.01375836],[-0.1767786   0.2957913  -0.00917036]
[-0.25440773  0.35525788  0.01340961],[-0.45060717  0.48906197 -0.05069109],[-0.39995534  0.46132767 -0.00864411],[-0.35298457  0.47655297 -0.04970865],[-0.39240879  0.35281602 -0.05482406],[-0.40260694  0.3487539   0.00821498],[-0.45396276  0.41577532  0.06597319],[-0.42304798  0.43855605  0.04029015],[-0.36765946  0.42056795  0.08444875],[1.0784681e-14 1.9211456e-14 7.2086553e-15],[-0.30008161  0.40215639 -0.01897009],[-0.38967409  0.41842713 -0.02167585],[-0.37627715  0.44858491  0.01890397],[-0.43964806  0.34890664 -0.01846406],[-0.342049    0.29797638 -0.05836726],[-0.36978123  0.3295718  -0.13303184],[-3.6374420e-15  2.5744677e-15  4.9843319e-15],[-1.4930111e-14  1.6845087e-14  1.0326314e-14],[-0.4084324   0.33551967 -0.14503129],[-0.3313662   0.21075783 -0.0784158 ]
[-0.30323497  0.22877463 -0.09765182],[-0.32858533  0.28139149 -0.14292946],[-0.35277377  0.33616659 -0.14697117],[-0.3370781   0.33245589 -0.12997381],[-4.2734447e-15 -1.2024655e-15  5.1223610e-15],[-0.31087912  0.3215752  -0.16508787],[-0.30415587  0.3372799  -0.15184625],[-0.32038176  0.32293874 -0.10439843],[-0.46342659  0.28955261 -0.05350481],[-0.46609756  0.2792612  -0.07126305],[-0.38477335  0.29245749 -0.03015443],[-0.41896972  0.3223779  -0.08583078],[-8.2762768e-15  7.0771593e-16  3.0342859e-15],[-0.4192883   0.32689536 -0.14007834],[-0.30918786  0.41028229 -0.17404124],[-0.3081359   0.36216462 -0.15102343],[-0.25190876  0.36073121 -0.09226963],[-0.20099314  0.4608405  -0.2143159 ],[-0.26887492  0.5673027  -0.21575205],[-0.34480548  0.57656922 -0.15601347]
[-0.36828767  0.50555979 -0.10735935],[-0.2650819   0.57808634 -0.07888467],[-0.2170347   0.48935626  0.02841518],[-0.26278753  0.4833924   0.07293005],[-0.29953592  0.46918083  0.01494944],[-0.37087837  0.42970978  0.08410885],[-0.39698677  0.46145617  0.17523031],[-0.44444251  0.4679267   0.23072836],[-0.43773653  0.51395074  0.26033479],[-0.4409373   0.43074089  0.25315512],[-0.5288233   0.46067676  0.21405654],[-2.5299707e-06 -2.1046341e-07 -1.9706988e-06],[-0.53901995  0.38756186  0.19111376],[-0.59335402  0.36660588  0.24174257],[-0.59192937  0.49804705  0.31008227],[-2.5299707e-06 -2.1046343e-07 -1.9706988e-06],[-0.7438675   0.47451313  0.3082782 ],[-2.5299723e-06 -2.1046310e-07 -1.9707002e-06],[-0.79233298  0.47910926  0.33445438],[-0.77456585  0.45706129  0.31439187]
[-0.77615446  0.47746944  0.2669071 ],[-0.70497998  0.43019502  0.27677385],[-7.0899820e-05  9.4130446e-05 -6.5725297e-05],[-0.70422341  0.40158133  0.26136298],[-0.70416321  0.40759818  0.26473037],[-6.1140803e-05  8.6908345e-05 -6.8511596e-05],[-0.72683233  0.31014636  0.26654916],[-0.68177912  0.29174674  0.24923402],[-0.68722543  0.30301352  0.19431697],[-0.64562909  0.33330476  0.15275156],[-0.71263287  0.33930799  0.15175034],[-6.1140803e-05  8.6908345e-05 -6.8511596e-05],[-0.7752549   0.35742283  0.06999152],[-0.70133066  0.27982808  0.14942684],[-0.72876262  0.2876711   0.0961909 ],[-0.75349178  0.264773    0.05201126],[-0.7433415   0.33369042  0.05531511],[-6.1140803e-05  8.6908345e-05 -6.8511596e-05],[-0.71311543  0.32837127  0.10690021],[-6.1140803e-05  8.6908345e-05 -6.8511596e-05]
[-0.62865408  0.35688594  0.09571964],[-0.61430018  0.37552177  0.10149286],[ 0.00426344 -0.00331247 -0.0031365 ],[-0.63627061  0.35740456  0.16165436],[-0.68097204  0.40830754  0.22017476],[-0.66772574  0.47914792  0.27344665],[-0.68368535  0.47202886  0.28795424],[-0.59921298  0.47834842  0.30477366],[-0.565476    0.50235852  0.21562748],[-0.69505196  0.53353364  0.2843952 ],[-0.73979838  0.49868797  0.25313205],[-0.67531324  0.5681578   0.25230655],[-0.66738861  0.62016352  0.29185018],[-0.65399911  0.61443902  0.27687272],[-0.65559377  0.61432979  0.30218468],[-0.6317562   0.58307311  0.30123651],[-0.65292135  0.61072582  0.30403098],[ 0.00426344 -0.00331247 -0.0031365 ],[-0.67766904  0.58434719  0.32029124],[-0.65951642  0.55244388  0.2745181 ]
[-0.55986023  0.48258628  0.30768236],[-0.54756367  0.5734805   0.30335619],[ 0.01705436 -0.01665259 -0.01772476],[ 0.01673445 -0.01614485 -0.01671301],[-0.52326991  0.43477565  0.39396767],[-0.44544959  0.45791066  0.45648712],[ 0.01673445 -0.01614485 -0.01671301],[-0.46590714  0.38802443  0.50967263],[-0.48478545  0.43615534  0.56179108],[ 0.01673445 -0.01614485 -0.01671301],[-0.50423651  0.4505289   0.62752146],[-0.57354609  0.42665584  0.56958391],[-0.55017517  0.4111549   0.49560836],[ 0.01673445 -0.01614485 -0.01671301],[-0.58675124  0.41966857  0.49430136],[-0.6612613   0.37620969  0.50261416],[-0.6319809   0.36128307  0.49957048],[-0.62715307  0.35171666  0.54328763],[-0.64008118  0.34029596  0.53691763],[ 0.01673445 -0.01614485 -0.01671301]
[-0.77892601  0.37389247  0.32014155],[-0.99949914  0.27496254 -1.        ],[-1.          0.5041616  -0.54385967],[-1.          0.3356976  -0.51423704],[-1.          0.26826674 -0.62544921],[-0.52426179  0.17391905  0.34446104],[-0.48751743  0.22325932  0.3708219 ],[-0.5115727   0.23101922  0.31168787],[-0.47747031  0.23900205  0.2518488 ],[ 0.01589222 -0.0273128  -0.07607862],[-0.44303223  0.23985511  0.27778978],[ 0.01589222 -0.0273128  -0.07607862],[-0.48707675  0.23629555  0.24758229],[ 0.01589222 -0.0273128  -0.07607862],[-0.59607056  0.23992574  0.20098087],[-0.63133258  0.29508652  0.25079121],[ 0.01589222 -0.0273128  -0.07607862],[ 0.01589222 -0.0273128  -0.07607862],[-0.61619248  0.25423559  0.29080989],[-0.58115785  0.31642473  0.28319806]
[-0.90959424  0.79673845 -0.99727094],[-1.          1.         -0.66358935],[-1.  1. -1.],[-1.  1. -1.],[-1.          1.         -0.72166425],[-1.          1.         -0.81778769],[-1.          1.         -0.85980531],[-1.          1.         -0.89874482],[-1.          1.         -0.89095945],[-1.  1. -1.],[-1.          1.         -0.89616356],[-1.  1. -1.],[-1.          1.         -0.93471762],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.]
[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.]
