[-0.00098053 -0.05160702 -0.00482875],[ 0.04798888 -0.06810607  0.03379783],[ 0.00482466 -0.05462389  0.00033944],[-0.09296166 -0.01759497 -0.03040999],[-0.02680517  0.04160986  0.01196334],[-0.0036885   0.04052905  0.0415193 ],[-0.01281731  0.04555672 -0.02707083],[ 0.06687902  0.15855496 -0.07678622],[ 0.07287606  0.08894029 -0.05959264],[ 0.03817208  0.04453561 -0.03216963],[0.13203473 0.04987309 0.04426907],[ 0.12564601  0.04360236 -0.00945814],[ 0.18628839  0.05665112 -0.04710542],[ 0.19965545  0.15563496 -0.06906383],[ 0.12559458  0.1299677  -0.0432885 ],[0.10126563 0.0965762  0.01066606],[0.19375359 0.10532915 0.08496023],[0.21164551 0.11014564 0.14603194],[0.14975654 0.11060064 0.08635964],[0.1434148  0.02184293 0.02606463]
[-0.03997533 -0.03495268 -0.08020866],[-0.04931535 -0.00240473 -0.01908617],[-0.03657738  0.00212601 -0.006626  ],[ 0.03726853 -0.04083783 -0.05112658],[ 0.07577638 -0.0663448   0.02191476],[-0.00181244 -0.06601898  0.02752722],[-0.04641402 -0.06809572  0.1147593 ],[-0.07413381 -0.15906449  0.15556746],[-0.02187691 -0.16706794  0.19451346],[-0.10946094 -0.19889553  0.1991805 ],[-0.05687118 -0.15359292  0.15378383],[-0.13960038 -0.23807385  0.14517677],[-0.0879855  -0.23501146  0.10525579],[-0.16249158 -0.18883494  0.03280092],[-0.1669009  -0.21443108  0.06422004],[-0.14870104 -0.22926146  0.17607674],[-0.02461845 -0.17363184  0.18712923],[-0.0621278  -0.14403785  0.20076908],[-0.06177259 -0.09999931  0.17038209],[-0.01985468 -0.03650532  0.14880631]
[ 0.05203041 -0.03789699  0.04549294],[0.10111925 0.04688609 0.07895805],[0.01678124 0.00143699 0.05386993],[-0.05248534 -0.03508597 -0.00625803],[-0.01834974  0.02579147 -0.00164249],[ 0.00084094  0.1091258  -0.05351572],[-0.04464141  0.08935841 -0.04308258],[ 0.01831513  0.09384959 -0.03139151],[ 0.01593527  0.14825823 -0.02939529],[-0.01351109  0.17478299 -0.0141642 ],[-0.04116579  0.18434991 -0.05486728],[-0.04561268  0.12784416 -0.13470758],[-0.09795647  0.15318638 -0.07637764],[-0.05883214  0.05003972 -0.07722059],[-0.07731516  0.06412589 -0.11522336],[-0.05091033  0.07916883 -0.0736099 ],[-0.01162097  0.05532741 -0.09811567],[ 0.03975167  0.03502504 -0.09319632],[ 0.10496447  0.0219846  -0.08171918],[ 0.18046917  0.02976936 -0.07733985]
[-0.01279385 -0.03084553 -0.05237157],[-0.07792867  0.00888107 -0.08002496],[-0.0998061  -0.06504754  0.02545823],[-0.04609239 -0.03504548  0.04885876],[0.00825076 0.00012762 0.11337265],[-0.13161722 -0.04925148  0.0486913 ],[-0.06600143 -0.01833048  0.08646875],[-0.11032119  0.04525966  0.07668699],[-0.00338081  0.01588945  0.04041274],[0.0205598  0.04990147 0.10182609],[0.05329628 0.08919249 0.0948853 ],[-0.10453258  0.03555174  0.12276853],[-0.06587754  0.07123492  0.07636131],[-0.0711265   0.06405469  0.02382802],[-0.13578713  0.11202159  0.02734582],[-0.1017718   0.11308714  0.05662678],[-0.07649831  0.06484922  0.0860274 ],[-0.08535041  0.02155322  0.0781296 ],[-0.04280523  0.05823416  0.11021395],[0.01204256 0.06436569 0.09960893]
[-0.08270402 -0.00823563 -0.02899351],[-0.10587075 -0.06297584 -0.02886571],[-0.11966013 -0.05427266  0.03765715],[-0.0779478  -0.05321972  0.01263158],[-0.08823957 -0.15887146  0.06500369],[-0.16809489 -0.14270642  0.10807598],[-0.16917014 -0.14217802  0.12130115],[-0.23384156 -0.14968574  0.12777429],[-0.18534783 -0.21632413  0.2125635 ],[-0.08814474 -0.15654317  0.22824678],[-0.08238948 -0.12579169  0.38718267],[-0.1995625  -0.12145257  0.36653731],[-0.1803083  -0.14586099  0.35884117],[-0.20561746 -0.08884999  0.40175663],[-0.17204449 -0.07170141  0.44366439],[-0.13729862 -0.02248284  0.46719522],[-0.20647836 -0.0551612   0.56494512],[-0.1818915  -0.1170439   0.58495909],[-0.21633068 -0.10620759  0.54246429],[-0.19649167 -0.20031651  0.57997837]
[-0.01715448 -0.03049845  0.03028183],[-0.01989349 -0.10399246 -0.03851865],[-0.0092166  -0.03721023 -0.04491329],[-0.07792974 -0.10636377 -0.02614577],[-0.02867749 -0.03580344  0.0071516 ],[-0.07146651 -0.03123247 -0.08368885],[-0.07211876 -0.02139867 -0.17064619],[-0.06089064  0.01688292 -0.19350528],[-0.03461476 -0.08654554 -0.12264182],[ 0.02255507 -0.09572976 -0.14294231],[ 0.02904886 -0.10559787 -0.15356423],[-0.01100945 -0.1274369  -0.1317875 ],[-0.03989869 -0.07672088 -0.19615139],[-0.09600335 -0.10259287 -0.18506897],[-0.12505704 -0.11040431 -0.23570738],[-0.17544442 -0.16394898 -0.200884  ],[-0.14036879 -0.12579482 -0.17763708],[-0.10260036 -0.04578592 -0.22424397],[-0.16159912 -0.04212021 -0.14767435],[-0.21735647 -0.02019938 -0.18482323]
[0.03035802 0.07038153 0.04021097],[ 0.02402954  0.0423196  -0.03191281],[ 0.00538911  0.01807238 -0.02399502],[ 0.07978062  0.06349236 -0.12934169],[ 0.03447753  0.12638759 -0.09994937],[ 0.03901119  0.19273195 -0.05913618],[ 0.04043662  0.18320756 -0.08929487],[ 0.06811524  0.11212468 -0.01914336],[ 0.06045367  0.05628535 -0.0184233 ],[ 0.0118817   0.06733977 -0.0808794 ],[ 0.12556486  0.11456146 -0.10476115],[ 0.06832307  0.06433737 -0.21773199],[ 0.04512199  0.06660438 -0.17692015],[-0.01003406  0.18214974 -0.11684089],[-0.02550862  0.15949849 -0.03956679],[-0.04538164  0.07824088 -0.01756602],[-0.08404901  0.05983523  0.00724783],[0.00254165 0.01441445 0.04207742],[-0.04177191 -0.01972225  0.01631519],[-0.01128638 -0.12905065  0.03680848]
[-0.08484515 -0.07604737  0.07663172],[-0.10067618 -0.05480294  0.08250365],[-0.03557018  0.05149192  0.14097267],[-0.07611941  0.09378062  0.11062696],[-0.07387669  0.07351124  0.15318561],[-0.0023578   0.06907546  0.20507459],[0.17513949 0.00924101 0.1407973 ],[ 0.25425931 -0.04363268  0.00980455],[ 0.27334098 -0.13716682  0.00412619],[ 0.27667064 -0.08352647  0.02023913],[ 0.29018573 -0.11516384 -0.00614943],[ 0.35174486 -0.22615148 -0.07906425],[ 0.29877184 -0.24426336 -0.07729984],[ 0.33128522 -0.24795576 -0.0384841 ],[ 0.35120468 -0.3096897  -0.06847475],[ 0.35187376 -0.31045979 -0.14804706],[ 0.37783559 -0.27275785 -0.2243678 ],[ 0.34835289 -0.22791377 -0.23237191],[ 0.28060199 -0.20790763 -0.29957402],[ 0.2016745  -0.30168887 -0.25103217]
[ 0.0167214   0.01307985 -0.02319858],[0.0525621  0.02994272 0.12912934],[0.03596121 0.03421158 0.08910265],[0.11282702 0.0155967  0.03141439],[0.13247745 0.02958591 0.13572042],[ 0.09327046  0.02473227 -0.03108671],[ 0.10264117  0.01157132 -0.08830296],[ 0.07794452 -0.07049188 -0.04541394],[ 0.0504838  -0.10924157 -0.08104153],[ 0.03221153 -0.11306884 -0.07246559],[ 0.00097716 -0.03740517 -0.14645901],[-0.01560732 -0.05848025 -0.1639026 ],[ 0.02164468 -0.08170194 -0.21515625],[ 0.00853277 -0.08354993 -0.22461937],[ 0.0042121  -0.10353956 -0.17314184],[-0.04954071 -0.15061925 -0.17799931],[-0.08226125 -0.112889   -0.21368246],[ 0.01037604 -0.03232002 -0.27848607],[ 0.10310836  0.03363652 -0.30482579],[ 0.08972763 -0.01732174 -0.3058735 ]
[ 0.04529156  0.1053904  -0.08354711],[0.11936262 0.18297838 0.03827675],[0.11405358 0.22604531 0.02438684],[0.07038188 0.26674315 0.00052718],[ 0.02914952  0.3379012  -0.01752498],[-0.11851897  0.31490755  0.00422962],[-0.08207989  0.34132611  0.11229898],[-0.06187257  0.40027817  0.12535039],[-0.14873513  0.3127374   0.16552259],[-0.13711008  0.30789625  0.15647396],[-0.19870783  0.29837714  0.10504834],[-0.28148285  0.33010807  0.16708406],[-0.24661485  0.34318896  0.2376165 ],[-0.16868271  0.32051453  0.24805435],[-0.2113748   0.2360458   0.26004534],[-0.2544692   0.23121668  0.29408142],[-0.29638595  0.24482035  0.32163057],[-0.21006327  0.26430489  0.29556929],[-0.18351149  0.29047243  0.2614284 ],[-0.1434722   0.28317075  0.28458975]
[-0.00170227  0.10125914  0.08099505],[0.03469406 0.08359129 0.05102205],[-0.02731031  0.03287065  0.02567747],[-0.05361659  0.09009567  0.02330961],[-0.06974961  0.09174755 -0.05345941],[-0.16223053  0.09897974 -0.03610566],[-0.12267502  0.07710263  0.03287427],[-0.04573118  0.04525236  0.05925692],[-0.08676025  0.07424593  0.04562043],[-0.03727988  0.06691703  0.04995569],[-0.04139678  0.02043382 -0.01363431],[-0.14981578  0.0144305   0.04151081],[-0.20842137 -0.03523386  0.10127691],[-0.08626994 -0.07327742 -0.00385362],[-0.09048371  0.00777785 -0.12102823],[-0.1328286  -0.05163928 -0.15287975],[-0.17350976 -0.13123043 -0.1158513 ],[-0.20755549 -0.07157355 -0.14334575],[-0.17713309 -0.03959333 -0.10519436],[-0.14028448  0.03205209 -0.00816019]
